	T0_1	T0_2	T0_3	C5_1	C5_2	C5_3	C20_1	C20_2	C20_3	C30_1	C30_2	C30_3	C45_1	C45_2	C45_3	C60_1	C60_2	C60_3	C90_1	C90_2	C90_3	C120_1	C120_2	C120_3	N5_1	N5_2	N5_3	N20_1	N20_2	N20_3	N30_1	N30_2	N30_3	N45_1	N45_2	N45_3	N60_1	N60_2	N60_3	N90_1	N90_2	N90_3	N120_1	N120_2	N120_3
AT1G47400	1.76461328573918	2.08492796045219	1.96214120239608	1.87653541970479	1.91097848805028	1.81746944575909	1.73178942103229	1.65658504634525	1.74724428691454	1.80887240166792	1.41410238983911	1.70914958562347	1.51459268508874	1.55809238631744	1.62719364371379	1.4501924587429	1.66874714375132	1.55640546208603	1.8072481875926	1.82987362142851	1.89559538136594	1.72161777382002	1.65069037080021	1.89345244721691	1.96240238101066	1.56047505200235	1.85020555367385	1.57960678384349	1.96038167833022	1.6575677362586	1.86750639366485	1.62091105264011	1.89850849959474	2.05627509118504	1.75634663956579	2.00818536823776	2.04171831259107	2.06342919368252	1.814273193174	2.57062260923019	2.5827497003711	2.61119709163791	2.90829909735358	2.87095656534893	2.87543752760261
AT1G73920	3.2615573047705	3.27404051111948	3.27135608265113	3.3116771184891	3.29798575946121	3.27744162821405	3.33696482899677	3.2116554109859	3.28232369795066	3.22751615187991	3.2464174441062	3.2175124535055	3.3359917193856	3.33295534256586	3.34125806347342	3.41118362584741	3.49319150141369	3.38139622930665	3.28838519595609	3.27306372794747	3.35434479697537	3.35942345673649	3.27088871394676	3.27137512138557	3.19963557489722	3.28297710545309	3.272288703019	3.56048534127085	3.57463940195434	3.66397200075576	3.88835867638338	3.9261816089321	3.94421416323348	4.03362723616738	4.04657824286437	4.04807372212257	4.07382987045078	4.03953153079556	4.0858394672904	3.91277244555422	3.94588140278069	3.97087720473711	3.76886569007785	3.85488828646642	3.81227905497256
AT1G47395	2.27334731962089	2.50613657546205	2.34372165350859	2.21254106369533	2.17655771749706	2.25728911808402	1.9279366435706	1.96048580530698	1.99354632104717	2.04531293982636	1.54753435994979	1.93750880639529	1.92827068571617	1.66089259135304	1.81781909360717	1.72792282844474	1.2290681906129	1.78311363710524	2.06694817873269	1.99555853668283	2.13761557712907	2.0147274920346	1.97417777079878	2.10428028056778	2.47655433465806	2.04572336815974	2.30899836406294	1.65735649112496	2.2473017144561	1.90964360926372	1.88415204425122	1.92449703051144	2.11707568671263	2.1981406777697	2.21771805238853	2.33891075526528	2.3742624995466	2.46833307959735	2.12695766075077	2.80252969592073	2.75284145214354	2.82111360593559	3.07481402530748	3.11870013911994	3.11809309628243
AT5G40850	3.50380979384719	3.51876341154376	3.57596669094672	3.47574414623274	3.4355603088273	3.50454916723175	3.79008617777941	3.62450358900364	3.68527332214671	3.66950830086529	3.61990038656402	3.58254215150274	3.90767765994045	3.88548914451556	3.79246516432074	3.7386171111285	3.94437893665153	3.73653351318365	3.52995666835943	3.48213273188333	3.71225709120855	3.56551177217267	3.499122036989	3.53679368587461	3.53244556150657	3.71471878324137	3.76478430834621	4.37315854288598	4.39994266975979	4.43619194931718	4.68053238339125	4.60060919036443	4.64497728437114	4.7223138156379	4.6920172289894	4.70496214647113	4.74763859733848	4.69044235685054	4.67588428760591	4.61329894404345	4.67022798564561	4.64587386938582	4.38006162607579	4.46788171005526	4.40652880253913
AT4G25835	2.07617111437652	2.05836374757176	2.04506487679247	2.03997670410109	1.93761067475001	2.0737172106027	2.13951794214352	2.12007799314439	2.17763153265362	2.06699750594475	1.98200924735092	2.11592782944585	2.25680361915982	2.21145629918088	2.21546949631602	2.08068406366104	2.44103912393088	2.10210921632315	1.90314163463254	1.66578534121595	2.15840202101762	2.04286218591855	2.0129443370709	2.04710374633128	2.16228541641991	2.25865530473754	2.26834704685367	2.87844499207636	2.94278350958278	2.96696350924094	3.12985972292805	3.08867170811543	3.06136081686911	3.22483716888095	3.23812930026672	3.26849284715411	3.24224880606842	3.24373443781941	3.21084984928078	3.23066783263474	3.29114959115371	3.20688715000537	3.16474877573979	3.17519874525781	3.15149361571345
AT1G67110	2.56170809726412	2.60683243545214	2.61597318004397	2.63694118690561	2.44420921145316	2.71547528443323	2.60511851122732	2.69020261041145	2.66126363516225	2.70944565266984	2.65913519300267	2.53538230058503	2.77440471961684	2.46615689961092	2.54665801752885	2.06863997982723	2.41927149633889	2.37900214706657	2.3793404905001	2.26253927661128	2.39755386629847	2.72460463478511	2.35659088394895	2.78375234495937	2.60852156251565	2.58064420676411	2.68322324797504	2.93002483860119	2.92999774751716	2.81688808828887	2.96124422828882	2.9908366713	2.89805167875571	2.94617694879032	2.81218586105669	2.90711143183412	3.01017803508547	2.79455401112652	2.92727358434864	3.27198153500338	3.13894659019602	3.33559765930893	3.58348046300073	3.57596121064187	3.55186082420382
AT1G30510	3.58318425947155	3.66110519906837	3.77830380843581	3.61262764873134	3.60005913394671	3.6328032546365	3.95605724135211	3.8286294109774	3.83464677699027	3.92924629064567	3.92108577576187	3.75259174517658	4.14802924610679	4.1445065847726	4.0746463531342	4.04018279621268	4.20080308631599	4.08464835833336	3.95973777676921	3.83238344607036	4.08317316581798	3.97278314059097	3.97394879717438	3.91980237827266	3.68295994265437	3.89585369100444	3.94171659730523	4.49828553770748	4.53668156020585	4.55966237753484	4.81070325411228	4.73418098638503	4.76998692808529	4.9063370811817	4.90422666764106	4.89798666093245	5.00491750327263	4.95459973922654	4.91447523534885	5.07462264491264	4.99601543512622	5.03699304908288	4.79351234548915	4.87268835378743	4.75232697254847
AT2G27510	3.90235400609506	3.90431299695779	3.96890335226702	3.90970315732936	3.86441993157841	3.89945220739057	4.14435118098818	4.12345101387691	4.13429558413802	4.17418088025701	4.17158368333798	4.07911009975965	4.32341773226321	4.39185520524757	4.24295972827045	4.35370840004859	4.33544696579892	4.26892757518488	4.20115920497446	4.13551937306104	4.25233914334334	4.23383513224185	4.17532766521701	4.1508668925638	3.94851317348375	4.12361883387864	4.16399321723928	4.44839796231603	4.47065545793835	4.52247468086574	4.77247831995655	4.68839761026578	4.71581982652771	4.82626034637263	4.83429077026114	4.8344143569517	4.90901812520412	4.87434987436354	4.91844117993718	4.94220829401316	4.88761022699899	4.93151252901442	4.75982389509017	4.82611637294073	4.76603513648258
AT4G24015	2.53871941160929	2.5636960632033	2.40434480827225	2.5915860214102	2.56004428958784	2.56771267350635	2.4197789770004	2.41763302534687	2.53787287036421	2.38936611443428	2.43953360208346	2.47421531974123	2.43038971113505	2.43307690006943	2.54034986199777	2.3940432807115	2.40566720222524	2.38112960518516	2.50618059669443	2.48511731643327	2.62420404809294	2.53295523052356	2.48950280084841	2.61121053525623	2.43065601757631	2.54468288535418	2.51397313556729	2.59543742445592	2.57997507113406	2.51550888596366	2.39011977692645	2.59229241657795	2.52709298764821	2.44276116691727	2.64320920270715	2.56815134114555	2.55121817850842	2.6388250038264	2.93959947834805	3.19578057789686	3.07853881962939	3.11220076634855	3.33012263738376	3.3679821814376	3.39196464741974
AT2G48080	2.12660237981544	2.00292343530237	2.3455250786795	2.24203186231348	2.3960422999414	2.1273776267957	2.50360897785226	2.30852376429852	2.26438811467598	2.3426364134662	2.21502862147616	2.37246904613193	2.58454673486978	2.54859093494045	2.53136162131561	2.70205693054959	3.05168287962178	2.60497872641	2.13821634350617	1.85515225759926	2.60906256676329	2.30929094526203	2.08142355632639	2.17400352055007	2.09409226627131	2.49323290898992	2.3787567086896	3.27009082902033	3.31527616753829	3.33533781750517	3.67463795761146	3.70322664816872	3.64989050404604	3.84203191924897	3.93856152579048	3.89186203166826	3.98086510839869	3.85503022812779	3.96838294558118	3.7965822941486	3.7607484848491	3.78093607767673	3.54712237135786	3.46193059878726	3.5055125754807
