Target	Log2FC	padj
AT3G01345	7.15634210097172	3.16E-134
AT4G02540	4.89166269114177	4.05E-101
AT1G73490	4.77308600028669	5.42E-84
AT1G27180	4.60961542646051	2.41E-74
AT1G23950	3.24262878390066	7.36E-69
AT5G02350	4.0132653120351	2.23E-59
AT1G11280	2.80737828989533	5.97E-58
AT1G02260	3.06844649588978	4.64E-57
AT3G29430	-5.50825041951945	1.36E-52
AT3G48080	4.58475843363378	5.37E-52
AT3G46720	2.48709082145128	3.72E-49
AT1G09420	-2.85024792535744	4.42E-49
AT1G13480	3.0424805654142	6.08E-49
AT5G51630	8.56439723149802	1.00E-43
AT3G44670	1.37439857120893	2.92E-42
AT2G05440	-2.08480441528215	6.49E-42
AT1G23960	7.22724549846774	8.86E-41
AT3G47350	6.93990622498864	1.03E-36
AT2G43590	-2.49781576634567	1.47E-36
AT5G45220	5.35534718492667	3.07E-36
AT5G63760	1.81793065055607	1.11E-35
AT5G45070	9.39017191989202	7.59E-35
AT3G46730	4.19379104205193	7.28E-34
AT3G44480	1.27145928758868	3.28E-30
AT3G29635	-3.93789823167488	5.29E-29
AT5G58575	-1.4239909610953	2.42E-28
AT3G50970	1.49550452256812	2.10E-27
AT5G43040	6.46272595173743	5.85E-27
AT3G50740	0.875389449094958	1.96E-25
AT3G49940	-1.21761517873187	2.51E-25
AT4G02970	1.74856454913372	2.92E-25
AT1G68880	-2.03508346465322	6.91E-25
AT3G47965	2.35354821534998	1.52E-24
AT1G78860	-1.93611817009971	9.80E-24
AT5G03390	-1.77871895387364	1.32E-23
AT5G02360	1.9809497419819	1.98E-23
AT3G53710	0.774017513773674	4.61E-22
AT5G49870	7.58865531114716	1.62E-21
AT5G46510	7.42205978625171	2.47E-21
AT5G43580	1.85919874721585	2.84E-21
AT1G79520	1.625837151053	1.77E-20
AT1G78830	-1.78459733406361	3.72E-20
AT3G47680	8.32863170430538	3.72E-20
AT1G05200	1.55259229438935	3.95E-20
AT5G52320	-4.11813795293343	6.47E-20
AT4G22710	-2.18175858103284	8.33E-20
AT3G61010	-0.755233895836231	2.71E-19
AT5G41750	4.72942424136216	5.44E-19
AT3G28360	-4.84798338450884	5.62E-19
AT4G01590	1.14025062480951	8.21E-19
AT1G01670	-2.78295753569724	1.02E-18
AT5G46520	7.11209919226477	1.11E-18
AT1G04580	-5.01373910822835	1.23E-18
AT1G15890	6.22643388338247	4.05E-18
AT5G48620	1.61369932946027	5.62E-18
AT1G72940	-1.18939658385694	6.41E-18
AT2G05510	-1.17146550048066	1.11E-17
AT5G47810	1.31124789208037	1.25E-17
AT5G18470	-1.00787216282619	1.95E-17
AT3G47360	1.87475702787746	2.36E-17
AT5G58770	2.95729904232417	2.64E-17
AT1G21110	-1.04645443070028	2.83E-17
AT3G43210	1.21389127517267	3.62E-17
AT1G12390	1.92064301688843	3.77E-17
AT3G47300	-1.51637548263968	5.28E-17
AT4G01740	6.14923251050958	5.83E-17
AT3G47010	1.9182243003246	8.28E-17
AT3G47050	-1.48686807467001	1.24E-16
AT5G42250	1.33925490725634	1.24E-16
AT5G43500	1.18564416077369	1.25E-16
AT3G29575	1.44338828903888	3.78E-16
AT5G66530	1.02594415383642	5.17E-16
AT5G58980	1.85786185458855	6.37E-16
AT1G26680	2.773284792812	8.44E-16
AT3G29410	-3.56923198723038	8.89E-16
AT1G09910	1.46631855588156	9.65E-16
AT4G01870	-1.81930559191226	1.05E-15
AT5G47260	-6.50865643956937	1.45E-15
AT3G43740	10.0895924118894	4.91E-15
AT4G01770	1.43420308710467	4.91E-15
