T0_1	T0_2	T0_3	C5_1	C5_2	C5_3	C20_1	C20_2	C20_3	C30_1	C30_2	C30_3	C45_1	C45_2	C45_3	C60_1	C60_2	C60_3	C90_1	C90_2	C90_3	C120_1	C120_2	C120_3	N5_1	N5_2	N5_3	N20_1	N20_2	N20_3	N30_1	N30_2	N30_3	N45_1	N45_2	N45_3	N60_1	N60_2	N60_3	N90_1	N90_2	N90_3	N120_1	N120_2	N120_3
AT1G47400	57.4085119033712	120.848427986231	90.9018429809692	74.5050103312513	80.7163930195788	64.9354902651819	53.1749090177364	44.600809796343	55.1284417788502	63.6480032509037	25.197910413646	50.4358106325709	31.9533833412152	35.398675258261	41.6331902571908	27.4463218186348	45.8887759556027	35.2585357908973	63.4076115301732	66.8386265616375	77.881286513551	51.9266046177335	43.9894221817723	77.4942527356195	90.9569776917537	35.5975424141504	70.0780937848497	37.2345323435279	90.5312709503091	44.7035424889348	72.9566026312683	41.0244800046193	78.4104947004852	113.084811094806	56.3119540308475	101.152624228248	109.332507263485	114.975534061086	64.4538430200661	371.318247968491	381.854171129152	407.754731999413	808.903313106644	742.194830797358	749.900066834208
AT1G73920	1825.48770361796	1878.74212821579	1867.16058284647	2048.88778410941	1985.27979426879	1893.5188961327	2171.77523146124	1627.25378772112	1914.93323235591	1687.80865763557	1762.92047301397	1649.35831792046	2166.91277399129	2151.81038085066	2193.35831598859	2576.66069233344	3112.3387456947	2405.80742546556	1941.85810311155	1874.51966311502	2260.48030362171	2287.07845227439	1865.15150050715	1867.24247067731	1582.81383501096	1917.81759756235	1871.1761145669	3634.09035672833	3754.50473120889	4612.12834078696	7732.43992361666	8436.12488822262	8793.81095282422	10804.3113266829	11131.3793212814	11169.7785304043	11852.293287405	10952.2107353785	12184.6409460378	8179.61054810589	8827.63781716094	9350.66228815258	5872.32693649534	7158.8422039343	6489.76346118242
AT1G47395	186.899460277343	319.977777981453	219.909003979213	162.382714824522	149.411195589433	180.087759668771	83.9603826595839	90.5531592834842	97.7749722115456	110.247434202458	34.5304698261075	85.8481883107589	84.0255636009732	45.052859419605	64.9883945478101	52.6969378917789	16.1960385725657	59.9395108445254	115.917039828598	98.232526916346	136.532625739806	102.699284688406	93.4775221362662	126.389436009284	298.858640987191	110.352381483866	202.953440441838	44.6814388122335	175.976515442736	80.4663764800826	75.8364685246078	83.2921260699846	130.19101006873	157.062237631675	164.338967885943	217.478142090733	235.985015677622	293.240352926439	133.204608908137	633.893294746209	565.282609828654	661.639753810368	1187.24339293193	1313.56704180802	1311.73121511179
AT5G40850	3189.39037655097	3301.14616269253	3765.99908067116	2989.75233765149	2725.46629195897	3194.82612104695	6166.4236597761	4211.39767652742	4844.02176158689	4671.30881002169	4166.98777766405	3823.46368689042	8084.20598532743	7681.51253104264	6200.29901732701	5477.18798212676	8797.14828466525	5450.96963327272	3387.35349721347	3034.06856331312	5154.58737035984	3676.40360693553	3155.14130598762	3441.11384171263	3406.82608407953	5183.89211406065	5817.39188925662	23612.6510309717	25114.798649024	27301.092020028	47920.9684651699	39865.849236004	44153.9851761506	52760.3468652324	49205.1555874442	50693.9020397894	55928.4487155963	49027.0444736258	47410.814617938	41047.9061763168	46797.3246279579	44245.235164691	23990.9833584369	29367.7462545928	25498.58194519
AT4G25835	118.421145630273	113.633596464665	110.184052098145	108.891938176444	85.8685032123178	117.749689014196	137.13529167732	131.099350007432	149.782936153857	115.930291635575	95.1921060071071	129.845384820023	179.885713624619	161.97575648477	163.486430034335	119.665963129248	275.332655733616	125.755444320867	79.2595144127164	45.5717908374801	143.263107290359	109.622831970771	102.275406572621	110.706075336599	144.556625260109	180.657527751813	184.751338160058	755.116315926746	875.813756047372	926.001951556507	1347.7772380829	1225.76173589559	1151.00688447127	1677.42469790629	1729.58144523317	1854.8862467855	1746.07261600002	1752.0583676648	1624.23684410567	1700.10712105573	1954.2627368362	1609.47716857127	1460.58160038281	1496.17053192483	1416.65387493812
AT1G67110	363.758866903424	403.669823631618	412.271994933891	432.702175385344	277.355265375787	518.618115584586	402.076943625341	489.257368068975	457.670082692341	511.457168980477	455.42889932812	342.319650889151	594.096238418148	291.770899098394	351.343508024098	116.372404511012	261.835956923145	238.582758851738	238.769287168308	182.28716334992	249.02781737049	529.651367100881	226.545524236127	607.038313095686	405.245820251653	380.003765271056	481.445605353059	850.436718726178	850.38362375796	655.226208480673	913.877443486413	978.371689807132	790.022720189794	882.689775490015	648.162083130572	806.692178220278	1022.96256796033	622.34463390863	845.061497374201	1869.85260584133	1376.29010923589	2164.9468223516	3831.73499347288	3765.95154886067	3562.61921931056
AT1G30510	3829.12200022755	4581.7787577705	6001.35803761227	4097.77556821882	3980.86380892305	4292.66880979696	9036.93585359321	6738.77689832019	6832.80630274088	8495.87186250903	8337.70857909309	5656.32250732513	14060.6721287769	13947.0780517548	11874.5982162827	10968.6480515992	15877.5164806385	12151.2667180696	9113.85341353223	6797.28578002592	12110.059304175	9391.79188852739	9417.03555356291	8313.10370715081	4818.2834700462	7867.05687352724	8743.37983105262	31497.4356000371	34409.0033981585	36278.8405958773	64669.3085455349	54221.9309054992	58881.8431901757	80599.6284854468	80208.9085638566	79064.6843202072	101137.981719083	90073.3101334334	82124.2221609229	118746.249563723	99085.9660371084	108890.516506168	62159.4417492698	74590.5804951344	56535.4965909485
AT2G27510	7985.70421185012	8021.81042725317	9308.25690120783	8122.00131854653	7317.71384375373	7932.51949079462	13942.0879871942	13286.9867002378	13622.9660750491	14933.4127627433	14844.3690014612	11997.2843164286	21057.2796218608	24651.4229124272	17496.0943446682	22578.4421808817	21648.7048919961	18574.1966546447	15890.5418958195	13661.4101866135	17878.0819929996	17132.3177502109	14972.8995751208	14152.8491811564	8881.29917890195	13292.1223374438	14587.1647686178	28079.3055309013	29555.916952047	33301.5846661142	59220.6022753365	48796.7542164035	51977.2813266443	67027.8805316938	68278.8188741785	68298.2518789131	81098.7403877801	74876.4980305154	82877.6159704464	87539.6030951716	77197.9926569471	85409.9987314091	57519.9145736149	67005.6634809276	58348.4809658344
AT4G24015	344.965945966446	365.431216567319	252.964219608657	389.718515578853	362.365083555981	368.833584706233	262.142972526034	260.847160324067	344.292721298102	244.362869624005	274.377246726368	297.249352026003	268.645111794661	270.31715651763	346.266289700051	247.016896367713	253.737937636862	239.758043378102	320.010289441343	304.824645379589	420.17434822743	340.407741382919	307.925955272406	407.767377489808	268.810353714022	349.745854219028	325.817630843847	393.196661547655	379.417573758037	326.97448220478	244.788600933861	390.354143074256	335.833628245474	276.429538231749	439.003396730281	369.207078433105	355.060023588348	434.586422322636	869.410726959559	1568.81959766687	1197.47622245335	1294.04426268493	2137.8158989247	2332.61232536312	2465.08860407063
AT2G48080	133.095070197502	99.9254165736893	220.827204413365	173.845024106253	248.159974283599	133.33420667784	318.116560965757	202.730953619741	183.068033076936	219.358296918293	163.319789718076	235.009415500703	383.440600094582	352.914065453572	339.158184046384	502.81661571739	1125.62468079331	401.947308016229	136.722662361936	70.889452413858	405.751887761957	203.090720282691	119.87117544533	148.530651076604	123.441612581666	310.588557563462	238.447539891307	1861.7266171764	2065.94394719189	2163.65145646444	4726.81988626796	5048.49737268966	4464.95986803895	6950.00401520163	8680.08548561207	7795.07410458936	9568.21813566283	7161.18257560286	9297.10877873888	6259.36475146884	5763.57534429379	6037.84742779508	3523.95172735951	2896.13062282038	3201.92283024722
